DCN	772	790	841	1157	637	674	1071	1311
FN1	1135	1529	1671	1905	945	2624	2135	2161
VCAM1	217	233	528	640	167	390	670	723
Col1a1	2613	3149	4305	4471	2197	5417	5512	5177
Col3a1	2115	2643	2472	1093	814	345	316	338
HSP47	52	61	67	82	27	93	79	89
THY1	82	69	76	73	53	117	90	79
CD105	25	32	28	37	4	43	29	38
CD166	41	44	50	49	18	64	57	52
CD44	71	62	77	69	43	95	92	74
CD29	58	53	50	42	32	79	57	44
CD73	28	34	31	31	11	47	33	31
CD9	34	51	37	45	12	76	40	47
ELN	2952	2710	2429	2106	1485	2660	2107	1189
DES	4	2	7	15	2	5	9	31
VIM	418	426	581	707	337	722	738	799
VCL	847	928	1153	1639	701	791	1471	1859
TUBB	663	426	557	390	545	722	707	439
Acta1	7	0	0	0	11	0	0	0
ACTB	615	623	671	644	504	1062	853	728
Actg1	309	321	339	303	245	541	428	340
Nexn	492	518	572	691	400	881	726	781
MMP1	384	883	288	244	473	519	230	218
TIMP1	62	138	302	394	93	87	241	350
MMP2	289	807	413	387	361	475	328	344
TIMP2	50	184	53	32	79	114	47	32
MMP3	337	821	631	599	418	483	498	531
MMP7	162	453	398	379	211	270	316	337
MMP9	262	514	271	251	329	305	217	224
HAS1	544	857	648	159	662	504	511	319
HAS2	475	902	661	173	581	530	521	244
HAS3	421	628	548	132	517	429	433	208
hylA	382	648	462	49	471	383	366	73
C6ST	168	340	234	418	218	204	188	371
C6ST-2	263	507	358	441	330	301	285	392
GalNAc4S-6ST	177	352	226	413	229	211	182	367
C4ST-1	364	716	397	320	449	422	315	285
C4ST-2	413	783	466	326	507	461	369	290
C4ST-3	429	852	542	709	526	501	428	627
D4ST-1	338	690	520	657	419	407	411	582
IL1A	552	684	479	270	671	404	379	241
IL1B	604	900	648	343	733	529	511	305
IL2	467	478	398	216	571	284	316	194
IL6	27	133	87	244	52	84	73	218
IL8	54	266	372	437	84	161	296	388
IL10	0	0	4	37	0	0	0	53
IL11	0	0	6	5	0	0	0	0
IL12	157	362	402	554	205	217	319	491
IL13	168	398	269	464	218	238	215	412
IL15	72	141	139	245	105	89	114	219
IGIF	233	433	292	509	295	258	233	451
TGFA	757	374	390	130	913	224	310	118
TGFB1	648	628	433	116	785	371	343	106
FGF1	917	1248	893	370	1102	731	702	329
FGF2	806	1376	776	307	971	805	611	274
FGF8	270	688	597	934	339	406	471	825
HOXD4	0	0	0	0	0	0	0	0
HOXB2	331	352	233	120	410	211	187	109
HOXB4	297	362	249	135	371	217	200	122
HOXB5	419	871	475	236	514	512	376	211
HOXB6	81	116	135	91	116	103	111	84
НОХВ7	165	148	89	43	215	93	75	41
Н0ХВ9	69	117	58	40	102	75	51	39
CALM1	511	1507	1089	239	623	881	855	214
UBB	251	312	622	444	316	424	491	218
TP53	33	41	63	159	59	62	55	143
PIN1	414	731	508	369	508	431	402	328
PNMT	324	636	403	279	402	376	320	249
ACE	58	134	110	89	89	85	91	82
GPX1	165	340	202	113	215	204	163	103
GPX2	0	0	34	91	0	0	32	84
GPX3	81	166	101	39	116	103	84	38
GPX4	103	195	125	69	141	120	103	64
GPX5	39	0	0	0	0	0	0	0
PRDX1	44	131	371	306	72	83	295	273
PRDX2	40	88	138	101	67	58	113	92
PRDX4	18	21	258	56	41	49	207	53
PRDX5	6	0	0	0	0	0	0	0
PRDX6	24	128	201	197	48	81	162	177
CAT	508	1260	1063	998	619	738	835	882
SOD1	467	1240	1187	306	571	726	931	407
SOD2	391	1076	870	311	481	631	684	316
SOD3	314	684	571	555	391	404	451	492
DHCR24	146	188	124	79	192	116	102	73
NOS2A	162	426	340	464	211	254	271	412
HSBP70	7	53	71	126	19	38	61	114
MTL1	33	116	144	51	59	74	118	48
MTL2	2	59	56	15	22	41	49	17
MTL3	8	52	56	16	30	37	49	18
MTL4	7	48	44	20	28	35	40	21
MTL5	43	140	97	52	71	88	81	49
